dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
HIV,SMOTE,19,0.9710144927536232,0.9782886334610472,0.007274140707424048
HIV,GMM-guided SMOTE,0,0.9784172661870504,0.9787994891443168,0.0003822229572664204
HIV,GMM-guided SMOTE,1,0.9784172661870504,0.9574844006568146,0.020932865530235767
HIV,GMM-guided SMOTE,2,0.9855072463768116,0.9714103265827404,0.014096919794071239
HIV,GMM-guided SMOTE,3,0.9855072463768116,0.971851851851852,0.013655394524959674
HIV,GMM-guided SMOTE,4,0.9855072463768116,0.9653333333333334,0.020173913043478264
HIV,GMM-guided SMOTE,5,0.9784172661870504,0.9719211822660098,0.0064960839210406185
HIV,GMM-guided SMOTE,6,0.9855072463768116,0.9603345280764636,0.025172718300348063
HIV,GMM-guided SMOTE,7,0.9784172661870504,0.9496989600437876,0.028718306143262762
HIV,GMM-guided SMOTE,8,0.9784172661870504,0.9719029374201787,0.006514328766871635
HIV,GMM-guided SMOTE,9,0.9784172661870504,0.97192118226601,0.0064960839210403964
HIV,GMM-guided SMOTE,10,0.9855072463768116,0.9728735632183908,0.012633683158420839
HIV,GMM-guided SMOTE,11,0.9784172661870504,0.9594628952804704,0.01895437090658003
HIV,GMM-guided SMOTE,12,0.9855072463768116,0.9723809523809523,0.013126293995859295
HIV,GMM-guided SMOTE,13,0.9784172661870504,0.958128078817734,0.020289187369316397
HIV,GMM-guided SMOTE,14,0.9855072463768116,0.9723627075351212,0.013144538841690423
HIV,GMM-guided SMOTE,15,0.9855072463768116,0.9713920817369092,0.014115164639902478
HIV,GMM-guided SMOTE,16,0.9710144927536232,0.9713920817369092,0.00037758898328599244
HIV,GMM-guided SMOTE,17,0.9855072463768116,0.9645137748586023,0.020993471518209295
HIV,GMM-guided SMOTE,18,0.9784172661870504,0.9713920817369092,0.00702518445014122
HIV,GMM-guided SMOTE,19,0.9784172661870504,0.9782886334610472,0.0001286327260031639
HIV,CVAE,0,0.9640287769784172,0.9787994891443168,0.014770712165899647
HIV,CVAE,1,0.9640287769784172,0.9574844006568146,0.006544376321602541
HIV,CVAE,2,0.9635036496350364,0.9714103265827404,0.007906676947703972
HIV,CVAE,3,0.9571428571428572,0.971851851851852,0.014708994708994783
HIV,CVAE,4,0.9640287769784172,0.9653333333333334,0.0013045563549162198
HIV,CVAE,5,0.9710144927536232,0.9719211822660098,0.0009066895123865937
HIV,CVAE,6,0.9571428571428572,0.9603345280764636,0.003191670933606394
HIV,CVAE,7,0.9640287769784172,0.9496989600437876,0.014329816934629536
HIV,CVAE,8,0.9571428571428572,0.9719029374201787,0.014760080277321563
HIV,CVAE,9,0.9640287769784172,0.97192118226601,0.00789240528759283
HIV,CVAE,10,0.9571428571428572,0.9728735632183908,0.015730706075533618
HIV,CVAE,11,0.9640287769784172,0.9594628952804704,0.004565881697946805
HIV,CVAE,12,0.9710144927536232,0.9723809523809523,0.0013664596273291751
HIV,CVAE,13,0.9640287769784172,0.958128078817734,0.005900698160683171
HIV,CVAE,14,0.9640287769784172,0.9723627075351212,0.008333930556704061
HIV,CVAE,15,0.9640287769784172,0.9713920817369092,0.007363304758492006
HIV,CVAE,16,0.9640287769784172,0.9713920817369092,0.007363304758492006
HIV,CVAE,17,0.9640287769784172,0.9645137748586023,0.0004849978801851895
HIV,CVAE,18,0.9496402877697842,0.9713920817369092,0.02175179396712501
HIV,CVAE,19,0.9640287769784172,0.9782886334610472,0.014259856482630062
Breast Cancer,Bootstrap,0,0.988795518207283,0.9693090695899408,0.019486448617342167
Breast Cancer,Bootstrap,1,0.988795518207283,0.9708217339834628,0.017973784223820122
Breast Cancer,Bootstrap,2,0.988795518207283,0.969345700438464,0.019449817768818933
Breast Cancer,Bootstrap,3,0.9873772791023844,0.9721019255727504,0.01527535352963394
Breast Cancer,Bootstrap,4,0.988795518207283,0.9653388938833948,0.023456624323888176
Breast Cancer,Bootstrap,5,0.988795518207283,0.9651268184702836,0.023668699736999366
Breast Cancer,Bootstrap,6,0.988795518207283,0.9760991556439162,0.012696362563366703
Breast Cancer,Bootstrap,7,0.9859550561797752,0.966544694946722,0.019410361233053175
Breast Cancer,Bootstrap,8,0.9902097902097902,0.9667799902865468,0.023429799923243344
Breast Cancer,Bootstrap,9,0.988795518207283,0.9696248109727528,0.019170707234530182
Breast Cancer,Bootstrap,10,0.9874125874125874,0.9679932432166384,0.01941934419594904
Breast Cancer,Bootstrap,11,0.988795518207283,0.9708713059980912,0.017924212209191714
Breast Cancer,Bootstrap,12,0.9873772791023844,0.9664538468160264,0.020923432286357957
Breast Cancer,Bootstrap,13,0.9859943977591036,0.9679659653137276,0.018028432445375997
